iterations:0.0 loss:11.8627
iterations:10.0 loss:11.2316
iterations:20.0 loss:10.6843
iterations:30.0 loss:10.4276
iterations:40.0 loss:10.1162
iterations:50.0 loss:9.72793
iterations:60.0 loss:9.49636
iterations:70.0 loss:9.10037
iterations:80.0 loss:8.67607
iterations:90.0 loss:8.3284
iterations:100.0 loss:7.88152
iterations:110.0 loss:7.64067
iterations:120.0 loss:7.63633
iterations:130.0 loss:7.09235
iterations:140.0 loss:6.79978
iterations:150.0 loss:6.38065
iterations:160.0 loss:6.11388
iterations:170.0 loss:6.22563
iterations:180.0 loss:5.93606
iterations:190.0 loss:5.86793
iterations:200.0 loss:5.41553
iterations:210.0 loss:5.44267
iterations:220.0 loss:5.34471
iterations:230.0 loss:5.07072
iterations:240.0 loss:4.78821
iterations:250.0 loss:4.73355
iterations:260.0 loss:4.76062
iterations:270.0 loss:4.41511
iterations:280.0 loss:4.1591
iterations:290.0 loss:4.5226
iterations:300.0 loss:4.34362
iterations:310.0 loss:4.30716
iterations:320.0 loss:4.33366
iterations:330.0 loss:4.35274
iterations:340.0 loss:3.95163
iterations:350.0 loss:3.88402
iterations:360.0 loss:3.67127
iterations:370.0 loss:3.99305
iterations:380.0 loss:3.79025
iterations:390.0 loss:3.92233
iterations:400.0 loss:3.9954
iterations:410.0 loss:3.67473
iterations:420.0 loss:3.95905
iterations:430.0 loss:3.93098
iterations:440.0 loss:3.7623
iterations:450.0 loss:3.67774
iterations:460.0 loss:3.9725
iterations:470.0 loss:4.28305
iterations:480.0 loss:3.73405
iterations:490.0 loss:3.80837
iterations:500.0 loss:3.68806
iterations:510.0 loss:3.78286
iterations:520.0 loss:3.57967
iterations:530.0 loss:3.52489
iterations:540.0 loss:3.64734
iterations:550.0 loss:3.75642
iterations:560.0 loss:3.84974
iterations:570.0 loss:3.54946
iterations:580.0 loss:3.69607
iterations:590.0 loss:3.69939
iterations:600.0 loss:3.74553
iterations:610.0 loss:3.57201
iterations:620.0 loss:3.70461
iterations:630.0 loss:3.48348
iterations:640.0 loss:3.68553
iterations:650.0 loss:3.48715
iterations:660.0 loss:3.66818
iterations:670.0 loss:3.59672
